
Quadro extraído em 15 de Janeiro de 2025 (22:47:02)
http://www.ine.pt



Período de referência dos dados;Consumo individual por objetivo;Índice harmonizado de preços no consumidor (Taxa de variação média dos últimos 12 meses - Base 2015 - %) por Consumo individual por objetivo -  Mensal;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;0,7;
;Transportes;-0,2;
;Comunicações;-3,9;
;Lazer, recreação e cultura;-1,5;
;Educação;0,1;
;Restaurantes e hotéis;1;
;Bens e serviços diversos;1,5;
Abril de 2020;Total;0,1;
;Produtos alimentares e bebidas não alcoólicas;0,7;
;Bebidas alcoólicas e tabaco;1,5;
;Vestuário e calçado;-3,1;
;Habitação, água, electricidade, gás e outros combustíveis;0,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,3;
;Saúde;0,8;
;Transportes;0,3;
;Comunicações;-4,1;
;Lazer, recreação e cultura;-1,3;
;Educação;0,3;
;Restaurantes e hotéis;0,7;
;Bens e serviços diversos;1,6;
Março de 2020;Total;0,2;
;Produtos alimentares e bebidas não alcoólicas;0,3;
;Bebidas alcoólicas e tabaco;1,6;
;Vestuário e calçado;-2,8;
;Habitação, água, electricidade, gás e outros combustíveis;0,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,3;
;Saúde;0,7;
;Transportes;0,9;
;Comunicações;-3,7;
;Lazer, recreação e cultura;-1,1;
;Educação;0,4;
;Restaurantes e hotéis;0,7;
;Bens e serviços diversos;1,7;
Fevereiro de 2020;Total;0,3;
;Produtos alimentares e bebidas não alcoólicas;0,3;
;Bebidas alcoólicas e tabaco;1,8;
;Vestuário e calçado;-2,8;
;Habitação, água, electricidade, gás e outros combustíveis;0,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,3;
;Saúde;0,8;
;Transportes;1,2;
;Comunicações;-3,4;
;Lazer, recreação e cultura;-1;
;Educação;0,6;
;Restaurantes e hotéis;0,6;
;Bens e serviços diversos;1,7;
Janeiro de 2020;Total;0,3;
;Produtos alimentares e bebidas não alcoólicas;0,4;
;Bebidas alcoólicas e tabaco;1,9;
;Vestuário e calçado;-2,9;
;Habitação, água, electricidade, gás e outros combustíveis;0,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,3;
;Saúde;0,8;
;Transportes;1,3;
;Comunicações;-3;
;Lazer, recreação e cultura;-0,8;
;Educação;0,8;
;Restaurantes e hotéis;0,6;
;Bens e serviços diversos;1,7;
Dezembro de 2019;Total;0,3;
;Produtos alimentares e bebidas não alcoólicas;0,3;
;Bebidas alcoólicas e tabaco;2;
;Vestuário e calçado;-3;
;Habitação, água, electricidade, gás e outros combustíveis;0,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,3;
;Saúde;0,8;
;Transportes;1,1;
;Comunicações;-2,6;
;Lazer, recreação e cultura;-0,7;
;Educação;0,9;
;Restaurantes e hotéis;0,6;
;Bens e serviços diversos;1,6;
Novembro de 2019;Total;0,3;
;Produtos alimentares e bebidas não alcoólicas;0,3;
;Bebidas alcoólicas e tabaco;2,1;
;Vestuário e calçado;-3,2;
;Habitação, água, electricidade, gás e outros combustíveis;0,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,3;
;Saúde;0,9;
;Transportes;1,1;
;Comunicações;-2,2;
;Lazer, recreação e cultura;-0,6;
;Educação;1,1;
;Restaurantes e hotéis;0,6;
;Bens e serviços diversos;1,6;
Outubro de 2019;Total;0,4;
;Produtos alimentares e bebidas não alcoólicas;0,3;
;Bebidas alcoólicas e tabaco;2,1;
;Vestuário e calçado;-3,3;
;Habitação, água, electricidade, gás e outros combustíveis;0,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,2;
;Saúde;0,9;
;Transportes;1,3;
;Comunicações;-1,9;
;Lazer, recreação e cultura;-0,5;
;Educação;1,2;
;Restaurantes e hotéis;0,5;
;Bens e serviços diversos;1,6;
Setembro de 2019;Total;0,5;
;Produtos alimentares e bebidas não alcoólicas;0,3;
;Bebidas alcoólicas e tabaco;2,2;
;Vestuário e calçado;-3,5;
;Habitação, água, electricidade, gás e outros combustíveis;1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,2;
;Saúde;0,9;
;Transportes;1,7;
;Comunicações;-1,6;
;Lazer, recreação e cultura;-0,5;
;Educação;1,3;
;Restaurantes e hotéis;0,4;
;Bens e serviços diversos;1,5;
Agosto de 2019;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;0,4;
;Bebidas alcoólicas e tabaco;2,2;
;Vestuário e calçado;-3,7;
;Habitação, água, electricidade, gás e outros combustíveis;1,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,2;
;Saúde;1;
;Transportes;2,1;
;Comunicações;-1,2;
;Lazer, recreação e cultura;-0,4;
;Educação;1,3;
;Restaurantes e hotéis;1,1;
;Bens e serviços diversos;1,4;
Julho de 2019;Total;0,7;
;Produtos alimentares e bebidas não alcoólicas;0,5;
;Bebidas alcoólicas e tabaco;2,3;
;Vestuário e calçado;-3,5;
;Habitação, água, electricidade, gás e outros combustíveis;1,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,2;
;Saúde;1;
;Transportes;2,4;
;Comunicações;-0,9;
;Lazer, recreação e cultura;-0,5;
;Educação;1,3;
;Restaurantes e hotéis;1,2;
;Bens e serviços diversos;1,4;
Junho de 2019;Total;1;
;Produtos alimentares e bebidas não alcoólicas;0,6;
;Bebidas alcoólicas e tabaco;2,4;
;Vestuário e calçado;-3,3;
;Habitação, água, electricidade, gás e outros combustíveis;1,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,2;
;Saúde;1;
;Transportes;2,7;
;Comunicações;-0,5;
;Lazer, recreação e cultura;-0,5;
;Educação;1,3;
;Restaurantes e hotéis;2,2;
;Bens e serviços diversos;1,3;
Maio de 2019;Total;1,1;
;Produtos alimentares e bebidas não alcoólicas;0,7;
;Bebidas alcoólicas e tabaco;2,4;
;Vestuário e calçado;-3,2;
;Habitação, água, electricidade, gás e outros combustíveis;1,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,3;
;Saúde;1;
;Transportes;3;
;Comunicações;-0,1;
;Lazer, recreação e cultura;-0,4;
;Educação;1,3;
;Restaurantes e hotéis;2,4;
;Bens e serviços diversos;1,2;
Abril de 2019;Total;1,2;
;Produtos alimentares e bebidas não alcoólicas;0,7;
;Bebidas alcoólicas e tabaco;2,4;
;Vestuário e calçado;-3,2;
;Habitação, água, electricidade, gás e outros combustíveis;1,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;1;
;Transportes;3,2;
;Comunicações;0,2;
;Lazer, recreação e cultura;-0,5;
;Educação;1,3;
;Restaurantes e hotéis;2,9;
;Bens e serviços diversos;1,1;
Março de 2019;Total;1,1;
;Produtos alimentares e bebidas não alcoólicas;0,8;
;Bebidas alcoólicas e tabaco;2,4;
;Vestuário e calçado;-3,2;
;Habitação, água, electricidade, gás e outros combustíveis;2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;1,1;
;Transportes;3,1;
;Comunicações;0,3;
;Lazer, recreação e cultura;-0,7;
;Educação;1,3;
;Restaurantes e hotéis;2,7;
;Bens e serviços diversos;1;
Fevereiro de 2019;Total;1,1;
;Produtos alimentares e bebidas não alcoólicas;0,7;
;Bebidas alcoólicas e tabaco;2,3;
;Vestuário e calçado;-3,4;
;Habitação, água, electricidade, gás e outros combustíveis;2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,3;
;Saúde;1,1;
;Transportes;3;
;Comunicações;0,3;
;Lazer, recreação e cultura;-0,6;
;Educação;1,2;
;Restaurantes e hotéis;2,9;
;Bens e serviços diversos;1;
Janeiro de 2019;Total;1,1;
;Produtos alimentares e bebidas não alcoólicas;0,6;
;Bebidas alcoólicas e tabaco;2,1;
;Vestuário e calçado;-3,3;
;Habitação, água, electricidade, gás e outros combustíveis;2,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;1,1;
;Transportes;2,9;
;Comunicações;0,4;
;Lazer, recreação e cultura;-0,6;
;Educação;1,2;
;Restaurantes e hotéis;3;
;Bens e serviços diversos;0,9;
Dezembro de 2018;Total;1,2;
;Produtos alimentares e bebidas não alcoólicas;0,7;
;Bebidas alcoólicas e tabaco;2,1;
;Vestuário e calçado;-3,5;
;Habitação, água, electricidade, gás e outros combustíveis;2,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;1,1;
;Transportes;3,1;
;Comunicações;0,4;
;Lazer, recreação e cultura;-0,6;
;Educação;1,2;
;Restaurantes e hotéis;3;
;Bens e serviços diversos;0,9;
Novembro de 2018;Total;1,2;
;Produtos alimentares e bebidas não alcoólicas;0,9;
;Bebidas alcoólicas e tabaco;2,1;
;Vestuário e calçado;-3,4;
;Habitação, água, electricidade, gás e outros combustíveis;2,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;1,1;
;Transportes;3,3;
;Comunicações;0,4;
;Lazer, recreação e cultura;-0,5;
;Educação;1,2;
;Restaurantes e hotéis;3,2;
;Bens e serviços diversos;0,9;
Outubro de 2018;Total;1,3;
;Produtos alimentares e bebidas não alcoólicas;1,1;
;Bebidas alcoólicas e tabaco;2,2;
;Vestuário e calçado;-3,4;
;Habitação, água, electricidade, gás e outros combustíveis;2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;1,1;
;Transportes;3,4;
;Comunicações;0,5;
;Lazer, recreação e cultura;-0,4;
;Educação;1,2;
;Restaurantes e hotéis;3,5;
;Bens e serviços diversos;0,9;
Setembro de 2018;Total;1,4;
;Produtos alimentares e bebidas não alcoólicas;1,2;
;Bebidas alcoólicas e tabaco;2,1;
;Vestuário e calçado;-3,4;
;Habitação, água, electricidade, gás e outros combustíveis;1,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;1,1;
;Transportes;3,2;
;Comunicações;0,7;
;Lazer, recreação e cultura;-0,3;
;Educação;1,2;
;Restaurantes e hotéis;4,3;
;Bens e serviços diversos;0,9;
Agosto de 2018;Total;1,4;
;Produtos alimentares e bebidas não alcoólicas;1,2;
;Bebidas alcoólicas e tabaco;2,1;
;Vestuário e calçado;-3,4;
;Habitação, água, electricidade, gás e outros combustíveis;1,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;1;
;Transportes;3;
;Comunicações;1;
;Lazer, recreação e cultura;-0,2;
;Educação;1,2;
;Restaurantes e hotéis;4,2;
;Bens e serviços diversos;0,9;
Julho de 2018;Total;1,4;
;Produtos alimentares e bebidas não alcoólicas;1,1;
;Bebidas alcoólicas e tabaco;2,1;
;Vestuário e calçado;-3,4;
;Habitação, água, electricidade, gás e outros combustíveis;1,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;1;
;Transportes;2,8;
;Comunicações;1,2;
;Lazer, recreação e cultura;-0,1;
;Educação;1,2;
;Restaurantes e hotéis;4,5;
;Bens e serviços diversos;1;
Junho de 2018;Total;1,3;
;Produtos alimentares e bebidas não alcoólicas;1,1;
;Bebidas alcoólicas e tabaco;2,1;
;Vestuário e calçado;-3,3;
;Habitação, água, electricidade, gás e outros combustíveis;1,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,6;
;Saúde;0,9;
;Transportes;2,6;
;Comunicações;1,5;
;Lazer, recreação e cultura;0,1;
;Educação;1,1;
;Restaurantes e hotéis;4,2;
;Bens e serviços diversos;1;
Maio de 2018;Total;1,2;
;Produtos alimentares e bebidas não alcoólicas;1;
;Bebidas alcoólicas e tabaco;2;
;Vestuário e calçado;-3,2;
;Habitação, água, electricidade, gás e outros combustíveis;1,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,6;
;Saúde;0,8;
;Transportes;2,3;
;Comunicações;1,7;
;Lazer, recreação e cultura;0,1;
;Educação;1,1;
;Restaurantes e hotéis;4;
;Bens e serviços diversos;1;
Abril de 2018;Total;1,2;
;Produtos alimentares e bebidas não alcoólicas;1,1;
;Bebidas alcoólicas e tabaco;2,1;
;Vestuário e calçado;-3,1;
;Habitação, água, electricidade, gás e outros combustíveis;1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;0,8;
;Transportes;2,1;
;Comunicações;2;
;Lazer, recreação e cultura;0,3;
;Educação;1,1;
;Restaurantes e hotéis;4,2;
;Bens e serviços diversos;1,1;
Março de 2018;Total;1,4;
;Produtos alimentares e bebidas não alcoólicas;1,2;
;Bebidas alcoólicas e tabaco;2,2;
;Vestuário e calçado;-3;
;Habitação, água, electricidade, gás e outros combustíveis;0,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;0,8;
;Transportes;2,4;
;Comunicações;2,2;
;Lazer, recreação e cultura;0,5;
;Educação;1;
;Restaurantes e hotéis;4,8;
;Bens e serviços diversos;1;
Fevereiro de 2018;Total;1,5;
;Produtos alimentares e bebidas não alcoólicas;1,4;
;Bebidas alcoólicas e tabaco;2,4;
;Vestuário e calçado;-2,7;
;Habitação, água, electricidade, gás e outros combustíveis;0,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,6;
;Saúde;0,7;
;Transportes;2,5;
;Comunicações;2,4;
;Lazer, recreação e cultura;0,5;
;Educação;1;
;Restaurantes e hotéis;4,8;
;Bens e serviços diversos;0,9;
Janeiro de 2018;Total;1,5;
;Produtos alimentares e bebidas não alcoólicas;1,6;
;Bebidas alcoólicas e tabaco;2,6;
;Vestuário e calçado;-2,7;
;Habitação, água, electricidade, gás e outros combustíveis;0,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;0,5;
;Transportes;2,9;
;Comunicações;2,5;
;Lazer, recreação e cultura;0,5;
;Educação;1;
;Restaurantes e hotéis;4,8;
;Bens e serviços diversos;0,9;
Dezembro de 2017;Total;1,6;
;Produtos alimentares e bebidas não alcoólicas;1,5;
;Bebidas alcoólicas e tabaco;2,6;
;Vestuário e calçado;-2,4;
;Habitação, água, electricidade, gás e outros combustíveis;0,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;0,4;
;Transportes;3,1;
;Comunicações;2,6;
;Lazer, recreação e cultura;0,5;
;Educação;0,9;
;Restaurantes e hotéis;4,7;
;Bens e serviços diversos;0,8;
Novembro de 2017;Total;1,5;
;Produtos alimentares e bebidas não alcoólicas;1,4;
;Bebidas alcoólicas e tabaco;2,6;
;Vestuário e calçado;-2,2;
;Habitação, água, electricidade, gás e outros combustíveis;0,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,5;
;Saúde;0,3;
;Transportes;2,9;
;Comunicações;3;
;Lazer, recreação e cultura;0,4;
;Educação;0,9;
;Restaurantes e hotéis;4,6;
;Bens e serviços diversos;0,7;
Outubro de 2017;Total;1,4;
;Produtos alimentares e bebidas não alcoólicas;1,2;
;Bebidas alcoólicas e tabaco;2,5;
;Vestuário e calçado;-2;
;Habitação, água, electricidade, gás e outros combustíveis;0,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;0,2;
;Transportes;2,7;
;Comunicações;3,3;
;Lazer, recreação e cultura;0,4;
;Educação;0,9;
;Restaurantes e hotéis;4,4;
;Bens e serviços diversos;0,6;
Setembro de 2017;Total;1,3;
;Produtos alimentares e bebidas não alcoólicas;1,2;
;Bebidas alcoólicas e tabaco;2,6;
;Vestuário e calçado;-1,8;
;Habitação, água, electricidade, gás e outros combustíveis;0,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;0;
;Transportes;2,6;
;Comunicações;3,3;
;Lazer, recreação e cultura;0,4;
;Educação;0,8;
;Restaurantes e hotéis;4,1;
;Bens e serviços diversos;0,5;
Agosto de 2017;Total;1,2;
;Produtos alimentares e bebidas não alcoólicas;1,2;
;Bebidas alcoólicas e tabaco;2,5;
;Vestuário e calçado;-1,5;
;Habitação, água, electricidade, gás e outros combustíveis;0,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,4;
;Saúde;-0,1;
;Transportes;2,3;
;Comunicações;3,3;
;Lazer, recreação e cultura;0,3;
;Educação;0,8;
;Restaurantes e hotéis;3,9;
;Bens e serviços diversos;0,5;
Julho de 2017;Total;1,2;
;Produtos alimentares e bebidas não alcoólicas;1,3;
;Bebidas alcoólicas e tabaco;2,5;
;Vestuário e calçado;-1,3;
;Habitação, água, electricidade, gás e outros combustíveis;0,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,3;
;Saúde;-0,2;
;Transportes;2,1;
;Comunicações;3,1;
;Lazer, recreação e cultura;0,2;
;Educação;0,8;
;Restaurantes e hotéis;3,8;
;Bens e serviços diversos;0,4;
Junho de 2017;Total;1,2;
;Produtos alimentares e bebidas não alcoólicas;1,4;
;Bebidas alcoólicas e tabaco;2,4;
;Vestuário e calçado;-1,1;
;Habitação, água, electricidade, gás e outros combustíveis;0,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,2;
;Saúde;-0,3;
;Transportes;1,8;
;Comunicações;3;
;Lazer, recreação e cultura;0,1;
;Educação;0,8;
;Restaurantes e hotéis;3,7;
;Bens e serviços diversos;0,4;
Maio de 2017;Total;1,1;
;Produtos alimentares e bebidas não alcoólicas;1,5;
;Bebidas alcoólicas e tabaco;2,4;
;Vestuário e calçado;-1;
;Habitação, água, electricidade, gás e outros combustíveis;0,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,1;
;Saúde;-0,4;
;Transportes;1,5;
;Comunicações;2,8;
;Lazer, recreação e cultura;0,2;
;Educação;0,9;
;Restaurantes e hotéis;3,6;
;Bens e serviços diversos;0,4;
Abril de 2017;Total;1;
;Produtos alimentares e bebidas não alcoólicas;1,3;
;Bebidas alcoólicas e tabaco;2,3;
;Vestuário e calçado;-0,9;
;Habitação, água, electricidade, gás e outros combustíveis;0,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;-0,1;
;Saúde;-0,5;
;Transportes;1,3;
;Comunicações;2,8;
;Lazer, recreação e cultura;0,1;
;Educação;0,9;
;Restaurantes e hotéis;3,2;
;Bens e serviços diversos;0,3;
Março de 2017;Total;0,9;
;Produtos alimentares e bebidas não alcoólicas;1,1;
;Bebidas alcoólicas e tabaco;2,3;
;Vestuário e calçado;-0,7;
;Habitação, água, electricidade, gás e outros combustíveis;0,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,1;
;Saúde;-0,7;
;Transportes;0,8;
;Comunicações;2,8;
;Lazer, recreação e cultura;0;
;Educação;0,9;
;Restaurantes e hotéis;2,7;
;Bens e serviços diversos;0,3;
Fevereiro de 2017;Total;0,8;
;Produtos alimentares e bebidas não alcoólicas;0,8;
;Bebidas alcoólicas e tabaco;2,3;
;Vestuário e calçado;-0,6;
;Habitação, água, electricidade, gás e outros combustíveis;0,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,2;
;Saúde;-0,7;
;Transportes;0,4;
;Comunicações;2,8;
;Lazer, recreação e cultura;0,1;
;Educação;0,9;
;Restaurantes e hotéis;2,7;
;Bens e serviços diversos;0,4;
Janeiro de 2017;Total;0,7;
;Produtos alimentares e bebidas não alcoólicas;0,6;
;Bebidas alcoólicas e tabaco;2,4;
;Vestuário e calçado;-0,5;
;Habitação, água, electricidade, gás e outros combustíveis;0,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,3;
;Saúde;-0,6;
;Transportes;-0,1;
;Comunicações;3;
;Lazer, recreação e cultura;0,1;
;Educação;0,9;
;Restaurantes e hotéis;2,5;
;Bens e serviços diversos;0,4;
Dezembro de 2016;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;0,5;
;Bebidas alcoólicas e tabaco;2,6;
;Vestuário e calçado;-0,4;
;Habitação, água, electricidade, gás e outros combustíveis;0,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,4;
;Saúde;-0,6;
;Transportes;-0,6;
;Comunicações;3,2;
;Lazer, recreação e cultura;0,2;
;Educação;0,9;
;Restaurantes e hotéis;2,3;
;Bens e serviços diversos;0,6;
Novembro de 2016;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;0,4;
;Bebidas alcoólicas e tabaco;2,8;
;Vestuário e calçado;-0,5;
;Habitação, água, electricidade, gás e outros combustíveis;0,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,5;
;Saúde;-0,5;
;Transportes;-0,8;
;Comunicações;3,2;
;Lazer, recreação e cultura;0,2;
;Educação;0,9;
;Restaurantes e hotéis;2,2;
;Bens e serviços diversos;0,7;
Outubro de 2016;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;0,4;
;Bebidas alcoólicas e tabaco;2,9;
;Vestuário e calçado;-0,6;
;Habitação, água, electricidade, gás e outros combustíveis;0,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,5;
;Saúde;-0,4;
;Transportes;-0,8;
;Comunicações;3,3;
;Lazer, recreação e cultura;0,2;
;Educação;0,9;
;Restaurantes e hotéis;2,1;
;Bens e serviços diversos;0,8;
Setembro de 2016;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;0,5;
;Bebidas alcoólicas e tabaco;3,1;
;Vestuário e calçado;-0,5;
;Habitação, água, electricidade, gás e outros combustíveis;0,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,4;
;Saúde;-0,4;
;Transportes;-0,9;
;Comunicações;3,4;
;Lazer, recreação e cultura;0;
;Educação;0,9;
;Restaurantes e hotéis;1,8;
;Bens e serviços diversos;0,9;
Agosto de 2016;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;0,6;
;Bebidas alcoólicas e tabaco;3,3;
;Vestuário e calçado;-0,4;
;Habitação, água, electricidade, gás e outros combustíveis;0,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,6;
;Saúde;-0,3;
;Transportes;-1;
;Comunicações;3,6;
;Lazer, recreação e cultura;-0,1;
;Educação;0,9;
;Restaurantes e hotéis;1,6;
;Bens e serviços diversos;1;
Julho de 2016;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;0,6;
;Bebidas alcoólicas e tabaco;3,5;
;Vestuário e calçado;-0,7;
;Habitação, água, electricidade, gás e outros combustíveis;0,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,7;
;Saúde;-0,2;
;Transportes;-1;
;Comunicações;3,9;
;Lazer, recreação e cultura;-0,2;
;Educação;0,9;
;Restaurantes e hotéis;1,6;
;Bens e serviços diversos;1;
Junho de 2016;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;0,6;
;Bebidas alcoólicas e tabaco;3,8;
;Vestuário e calçado;-1;
;Habitação, água, electricidade, gás e outros combustíveis;0,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,7;
;Saúde;-0,1;
;Transportes;-0,9;
;Comunicações;4,2;
;Lazer, recreação e cultura;-0,4;
;Educação;0,8;
;Restaurantes e hotéis;1,6;
;Bens e serviços diversos;1;
Maio de 2016;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;0,6;
;Bebidas alcoólicas e tabaco;4;
;Vestuário e calçado;-1,3;
;Habitação, água, electricidade, gás e outros combustíveis;0,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,7;
;Saúde;0;
;Transportes;-0,8;
;Comunicações;4,4;
;Lazer, recreação e cultura;-0,6;
;Educação;0,8;
;Restaurantes e hotéis;1,5;
;Bens e serviços diversos;1;
Abril de 2016;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;0,8;
;Bebidas alcoólicas e tabaco;4,2;
;Vestuário e calçado;-1,4;
;Habitação, água, electricidade, gás e outros combustíveis;0,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,7;
;Saúde;0,1;
;Transportes;-0,5;
;Comunicações;4,5;
;Lazer, recreação e cultura;-0,8;
;Educação;0,8;
;Restaurantes e hotéis;1,4;
;Bens e serviços diversos;0,9;
Março de 2016;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;0,9;
;Bebidas alcoólicas e tabaco;4,4;
;Vestuário e calçado;-1,6;
;Habitação, água, electricidade, gás e outros combustíveis;0,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,7;
;Saúde;0,2;
;Transportes;-0,6;
;Comunicações;4,6;
;Lazer, recreação e cultura;-1;
;Educação;0,7;
;Restaurantes e hotéis;1,5;
;Bens e serviços diversos;0,9;
Fevereiro de 2016;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;1;
;Bebidas alcoólicas e tabaco;4,2;
;Vestuário e calçado;-1,8;
;Habitação, água, electricidade, gás e outros combustíveis;0,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,7;
;Saúde;0,3;
;Transportes;-0,5;
;Comunicações;4,6;
;Lazer, recreação e cultura;-1,2;
;Educação;0,7;
;Restaurantes e hotéis;1,5;
;Bens e serviços diversos;0,8;
Janeiro de 2016;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;1;
;Bebidas alcoólicas e tabaco;4,1;
;Vestuário e calçado;-1,9;
;Habitação, água, electricidade, gás e outros combustíveis;0,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,6;
;Saúde;0,4;
;Transportes;-0,6;
;Comunicações;4,5;
;Lazer, recreação e cultura;-1,4;
;Educação;0,7;
;Restaurantes e hotéis;1,8;
;Bens e serviços diversos;0,6;
Dezembro de 2015;Total;0,5;
;Produtos alimentares e bebidas não alcoólicas;1;
;Bebidas alcoólicas e tabaco;4;
;Vestuário e calçado;-2;
;Habitação, água, electricidade, gás e outros combustíveis;0,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,7;
;Saúde;0,4;
;Transportes;-0,9;
;Comunicações;4,1;
;Lazer, recreação e cultura;-1,6;
;Educação;0,7;
;Restaurantes e hotéis;1,9;
;Bens e serviços diversos;0,4;
Novembro de 2015;Total;0,5;
;Produtos alimentares e bebidas não alcoólicas;1;
;Bebidas alcoólicas e tabaco;3,9;
;Vestuário e calçado;-2;
;Habitação, água, electricidade, gás e outros combustíveis;0,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,7;
;Saúde;0,4;
;Transportes;-1,3;
;Comunicações;3,8;
;Lazer, recreação e cultura;-1,7;
;Educação;0,6;
;Restaurantes e hotéis;2,1;
;Bens e serviços diversos;0,3;
Outubro de 2015;Total;0,4;
;Produtos alimentares e bebidas não alcoólicas;0,9;
;Bebidas alcoólicas e tabaco;3,8;
;Vestuário e calçado;-2;
;Habitação, água, electricidade, gás e outros combustíveis;0,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;0,8;
;Saúde;0,4;
;Transportes;-1,5;
;Comunicações;3,4;
;Lazer, recreação e cultura;-1,9;
;Educação;0,6;
;Restaurantes e hotéis;2,2;
;Bens e serviços diversos;0,1;
Setembro de 2015;Total;0,4;
;Produtos alimentares e bebidas não alcoólicas;0,7;
;Bebidas alcoólicas e tabaco;3,8;
;Vestuário e calçado;-2,1;
;Habitação, água, electricidade, gás e outros combustíveis;0,8;
